Source,Target,Weight,edges_1,edges_2,edges_3,edges_4,edges_5,edges_6,edges_7
7,11,17,0,3,7,0,2,5,0
2,80,2,0,2,0,0,0,0,0
0,80,17,0,17,0,0,0,0,0
80,7,16,0,16,0,0,0,0,0
80,4,10,0,10,0,0,0,0,0
51,7,20,0,6,0,0,10,2,2
2,51,9,0,2,0,0,4,0,3
77,39,5,0,2,0,0,3,0,0
77,9,37,0,15,0,21,1,0,0
77,4,18,0,16,0,2,0,0,0
77,51,86,0,15,0,48,12,8,3
8,77,23,0,23,0,0,0,0,0
77,1,14,0,8,0,0,0,0,6
77,10,59,0,7,0,44,5,0,3
77,7,4,0,4,0,0,0,0,0
77,2,5,0,5,0,0,0,0,0
23,43,33,0,2,0,4,19,0,8
42,7,14,0,3,0,8,0,0,3
42,39,11,0,4,0,5,2,0,0
7,44,16,0,7,0,7,1,0,1
43,4,22,0,7,0,15,0,0,0
43,39,15,0,2,0,6,7,0,0
77,42,3,0,3,0,0,0,0,0
9,42,103,0,9,9,18,54,8,5
0,81,64,0,17,1,2,17,3,24
42,1,13,0,3,0,0,8,0,2
82,44,15,0,11,1,3,0,0,0
23,41,24,0,8,3,0,11,2,0
23,42,53,0,6,0,6,10,25,6
42,18,62,0,1,19,10,27,5,0
22,56,105,0,8,0,41,9,16,31
83,9,11,0,6,0,0,5,0,0
40,44,342,0,37,12,39,94,132,28
40,18,44,0,3,0,6,15,6,14
78,44,126,0,106,0,4,16,0,0
43,78,4,0,4,0,0,0,0,0
42,78,5,0,5,0,0,0,0,0
84,56,8,0,1,0,0,7,0,0
23,84,2,0,2,0,0,0,0,0
84,42,23,0,3,0,0,18,0,2
23,56,24,0,2,2,11,6,0,3
85,56,59,0,7,1,2,33,8,8
83,56,80,0,12,7,14,38,7,2
86,56,29,0,1,0,12,16,0,0
8,11,15,0,2,1,3,7,0,2
10,42,38,0,1,0,19,8,2,8
10,43,15,0,2,0,3,5,2,3
40,78,17,0,13,0,0,4,0,0
82,0,20,0,1,13,6,0,0,0
82,51,10,0,9,1,0,0,0,0
9,56,149,0,15,6,37,46,21,24
48,23,7,0,2,0,5,0,0,0
23,78,2,0,2,0,0,0,0,0
23,40,20,0,6,0,1,7,1,5
28,78,3,0,3,0,0,0,0,0
28,7,2,0,2,0,0,0,0,0
28,56,13,0,3,5,5,0,0,0
83,0,73,0,8,11,14,22,6,12
9,85,8,0,1,0,2,3,2,0
87,1,22,0,2,0,0,0,17,3
87,55,65,0,31,0,0,0,34,0
86,0,27,0,3,0,7,8,0,9
86,87,2,0,2,0,0,0,0,0
87,9,21,0,3,0,0,0,18,0
87,0,53,0,2,0,0,0,47,4
77,3,4,0,4,0,0,0,0,0
77,28,4,0,4,0,0,0,0,0
85,44,13,0,8,0,0,0,2,3
3,85,8,0,2,0,0,0,6,0
42,85,5,0,3,0,0,2,0,0
43,85,11,0,4,0,0,5,2,0
87,44,17,0,1,0,0,0,14,2
87,51,20,0,2,0,0,0,18,0
87,28,3,0,3,0,0,0,0,0
87,81,8,0,5,0,0,0,3,0
87,56,12,0,6,0,0,0,6,0
9,81,18,0,10,2,0,1,3,2
51,85,8,0,4,0,0,4,0,0
0,85,32,0,4,0,4,14,8,2
41,56,74,0,12,4,20,15,18,5
88,51,17,0,5,0,5,7,0,0
51,70,15,0,2,0,2,5,0,6
51,41,80,0,7,9,37,14,4,9
51,78,34,0,31,0,0,3,0,0
9,78,42,0,41,0,0,1,0,0
43,55,20,0,12,0,3,5,0,0
81,55,40,0,21,0,0,9,0,10
40,81,5,0,3,0,0,2,0,0
78,55,22,0,22,0,0,0,0,0
40,55,29,0,15,0,0,2,7,5
40,51,160,0,10,8,7,60,58,17
23,55,20,0,1,4,4,7,4,0
23,47,2,0,2,0,0,0,0,0
83,23,3,0,3,0,0,0,0,0
83,3,4,0,4,0,0,0,0,0
78,56,10,0,9,0,0,1,0,0
78,29,1,0,1,0,0,0,0,0
9,41,36,0,10,2,19,1,3,1
23,7,11,0,5,3,0,3,0,0
39,21,1,0,1,0,0,0,0,0
40,11,43,0,4,0,2,34,1,2
11,56,144,0,3,26,9,100,1,5
51,36,49,0,21,13,1,12,2,0
29,60,13,0,3,6,0,0,3,1
78,45,20,0,15,0,0,5,0,0
82,45,4,0,4,0,0,0,0,0
78,7,1,0,1,0,0,0,0,0
9,62,5,0,1,0,3,0,1,0
78,62,12,0,12,0,0,0,0,0
0,89,42,0,38,0,0,4,0,0
51,89,11,0,11,0,0,0,0,0
89,44,12,0,12,0,0,0,0,0
90,0,32,0,15,3,13,0,0,1
90,1,1,0,1,0,0,0,0,0
91,0,53,0,34,0,19,0,0,0
91,55,8,0,4,0,0,0,0,4
53,9,51,0,18,0,9,5,10,9
9,54,16,0,6,0,6,0,0,4
53,56,9,0,5,2,0,2,0,0
90,78,4,0,4,0,0,0,0,0
91,78,8,0,8,0,0,0,0,0
91,90,4,0,3,0,0,1,0,0
92,0,8,0,1,0,7,0,0,0
9,92,8,0,1,0,7,0,0,0
90,44,10,0,4,0,0,5,0,1
78,26,1,0,1,0,0,0,0,0
93,44,1,0,1,0,0,0,0,0
78,93,2,0,2,0,0,0,0,0
93,58,3,0,3,0,0,0,0,0
66,93,4,0,4,0,0,0,0,0
